Month,Agency,Ridership
01/01/2008,MNR,6453734
02/01/2008,MNR,6144377
03/01/2008,MNR,6602280
04/01/2008,MNR,6787480
04/01/2008,B&T,24900328
05/01/2008,MNR,6840901
05/01/2008,B&T,26172575
06/01/2008,MNR,7008657
06/01/2008,B&T,25940107
07/01/2008,MNR,7298152
07/01/2008,B&T,26189384
08/01/2008,MNR,6826968
08/01/2008,B&T,26448624
09/01/2008,MNR,6833215
09/01/2008,B&T,24633191
10/01/2008,MNR,7322841
10/01/2008,B&T,25258664
11/01/2008,MNR,6357900
11/01/2008,B&T,23914201
12/01/2008,MNR,6989977
12/01/2008,B&T,24218648
01/01/2009,MNR,6176035
01/01/2009,B&T,22260909
02/01/2009,MNR,5731571
02/01/2009,B&T,21497488
03/01/2009,MNR,6593183
03/01/2009,B&T,24295234
04/01/2009,MNR,6600645
04/01/2009,B&T,24839950
05/01/2009,MNR,6387435
05/01/2009,B&T,26019431
06/01/2009,MNR,6864270
06/01/2009,B&T,25847929
07/01/2009,MNR,6830791
07/01/2009,B&T,26152065
08/01/2009,MNR,6392629
08/01/2009,B&T,26084323
09/01/2009,MNR,6511692
09/01/2009,B&T,24838705
10/01/2009,MNR,6788990
10/01/2009,B&T,25300215
11/01/2009,MNR,6336672
11/01/2009,B&T,23898100
12/01/2009,MNR,6761648
12/01/2009,B&T,23775856
01/01/2010,MNR,5935008
01/01/2010,B&T,22601000
02/01/2010,MNR,5572064
02/01/2010,B&T,19389016
03/01/2010,MNR,6769641
03/01/2010,B&T,24782495
04/01/2010,MNR,6675241
04/01/2010,B&T,24845798
05/01/2010,MNR,6580762
05/01/2010,B&T,26252605
06/01/2010,MNR,6992372
06/01/2010,B&T,26218749
07/01/2010,MNR,6832493
07/01/2010,B&T,26250587
08/01/2010,MNR,6747243
08/01/2010,B&T,26468484
09/01/2010,MNR,6693644
09/01/2010,B&T,24895673
10/01/2010,MNR,6867305
10/01/2010,B&T,25745102
11/01/2010,MNR,6654086
11/01/2010,B&T,24276731
12/01/2010,MNR,6924465
12/01/2010,B&T,23232917
01/01/2011,MNR,5916958
01/01/2011,B&T,20667163
02/01/2011,MNR,5685834
02/01/2011,B&T,20416996
03/01/2011,MNR,6896269
03/01/2011,B&T,24217298
04/01/2011,MNR,6648157
04/01/2011,B&T,23862645
05/01/2011,MNR,6788759
05/01/2011,B&T,25431952
06/01/2011,MNR,7164508
06/01/2011,B&T,25570907
07/01/2011,B&T,25760847
07/01/2011,MNR,6854351
08/01/2011,B&T,24569331
08/01/2011,MNR,6551648
09/01/2011,B&T,24267823
09/01/2011,MNR,6860460
10/01/2011,B&T,24418354
10/01/2011,MNR,6945233
11/01/2011,B&T,23755837
11/01/2011,MNR,6851523
12/01/2011,B&T,23977111
12/01/2011,MNR,7201122
01/01/2012,B&T,22057316
01/01/2012,MNR,6419039
02/01/2012,B&T,21540526
02/01/2012,MNR,6265035
03/01/2012,B&T,24224899
03/01/2012,MNR,6994606
04/01/2012,B&T,23927256
04/01/2012,MNR,6831738
05/01/2012,B&T,25487361
05/01/2012,MNR,7094282
06/01/2012,B&T,25516755
06/01/2012,MNR,7121125
07/01/2012,B&T,25161554
07/01/2012,MNR,7062979
08/01/2012,B&T,25947715
08/01/2012,MNR,7192537
09/01/2012,B&T,24037363
09/01/2012,MNR,6618194
10/01/2012,B&T,23242718
10/01/2012,MNR,6639905
11/01/2012,B&T,21345408
11/01/2012,MNR,6211787
12/01/2012,B&T,23688503
12/01/2012,MNR,6901053
01/01/2013,B&T,22576303
01/01/2013,MNR,6559572
02/01/2013,B&T,20084319
02/01/2013,MNR,5883759
03/01/2013,B&T,23650309
03/01/2013,MNR,6827779
04/01/2013,B&T,23916180
04/01/2013,MNR,6973346
05/01/2013,B&T,25329798
05/01/2013,MNR,7061067
06/01/2013,B&T,25006128
06/01/2013,MNR,6959429
07/01/2013,B&T,25161936
07/01/2013,MNR,7156528
08/01/2013,B&T,25905144
08/01/2013,MNR,6995610
09/01/2013,B&T,24083596
09/01/2013,MNR,6659062
10/01/2013,B&T,25324457
10/01/2013,MNR,7243522
11/01/2013,B&T,23456183
11/01/2013,MNR,6614618
12/01/2013,B&T,23298003
12/01/2013,MNR,6927541
01/01/2014,B&T,21019162
01/01/2014,MNR,6398208
02/01/2014,B&T,18939446
02/01/2014,MNR,5846639
03/01/2014,B&T,23704780
03/01/2014,MNR,6684169
04/01/2014,B&T,24107629
04/01/2014,MNR,7018716
05/01/2014,B&T,25942604
05/01/2014,MNR,7028443
06/01/2014,B&T,25646106
06/01/2014,MNR,7213680
07/01/2014,B&T,25704941
07/01/2014,MNR,7366433
08/01/2014,B&T,26211080
08/01/2014,MNR,6935605
09/01/2014,B&T,24762381
09/01/2014,MNR,7072104
10/01/2014,B&T,25472271
10/01/2014,MNR,7499635
11/01/2014,B&T,23646478
11/01/2014,MNR,6555045
12/01/2014,B&T,24479703
12/01/2014,MNR,7356438
01/01/2015,B&T,21240641
01/01/2015,MNR,6173387
02/01/2015,B&T,20223868
02/01/2015,MNR,5849842
03/01/2015,B&T,24114600
03/01/2015,MNR,7018867
04/01/2015,B&T,25092481
04/01/2015,MNR,7134749
05/01/2015,B&T,26787746
05/01/2015,MNR,7034781
06/01/2015,B&T,26408745
06/01/2015,MNR,7450980
07/01/2015,B&T,27166917
07/01/2015,MNR,7487082
08/01/2015,B&T,27435839
08/01/2015,MNR,7050090
09/01/2015,B&T,25455237
09/01/2015,MNR,7199158
10/01/2015,B&T,26488811
10/01/2015,MNR,7513133
11/01/2015,B&T,25048798
11/01/2015,MNR,6859735
12/01/2015,B&T,25657663
12/01/2015,MNR,7486227
01/01/2016,B&T,22457720
01/01/2016,MNR,6340920
02/01/2016,B&T,22617310
02/01/2016,MNR,6313644
03/01/2016,B&T,25954972
03/01/2016,MNR,7378875
04/01/2016,B&T,25720788
04/01/2016,MNR,6980262
05/01/2016,B&T,27305121
05/01/2016,MNR,7052626
06/01/2016,B&T,27547017
06/01/2016,MNR,7526378
07/01/2016,B&T,27528163
07/01/2016,MNR,7097402
08/01/2016,B&T,27874573
08/01/2016,MNR,7288957
09/01/2016,B&T,26310302
09/01/2016,MNR,7123552
10/01/2016,B&T,26274222
10/01/2016,MNR,7321189
11/01/2016,B&T,25382048
11/01/2016,MNR,7104083
12/01/2016,B&T,25523374
12/01/2016,MNR,7280395
01/01/2017,B&T,23678030
01/01/2017,MNR,6740205
02/01/2017,B&T,21817096
02/01/2017,MNR,6255704
03/01/2017,B&T,24825216
03/01/2017,MNR,7308653
04/01/2017,B&T,25563307
04/01/2017,MNR,7015523
05/01/2017,B&T,26934051
05/01/2017,MNR,7464531
06/01/2017,B&T,27312088
06/01/2017,MNR,7708077
07/01/2017,MNR,7244976
07/01/2017,B&T,27666919
08/01/2017,MNR,7507575
08/01/2017,B&T,28400644
09/01/2017,MNR,7083644
09/01/2017,B&T,26685639
10/01/2017,MNR,7730577
10/01/2017,B&T,27200556
11/01/2017,MNR,7277877
11/01/2017,B&T,26080331
12/01/2017,MNR,7160806
12/01/2017,B&T,25865411
01/01/2018,MNR,6764660
01/01/2018,Bus,45398837
01/01/2018,Subway,134683435
01/01/2018,B&T,23864492
02/01/2018,MNR,6246009
02/01/2018,Bus,44719811
02/01/2018,Subway,127432835
02/01/2018,B&T,22860783
03/01/2018,MNR,7136383
03/01/2018,Bus,49751875
03/01/2018,Subway,143982923
03/01/2018,B&T,25806229
04/01/2018,MNR,7114637
04/01/2018,Bus,48544481
04/01/2018,Subway,141950369
04/01/2018,B&T,26642983
05/01/2018,MNR,7544006
05/01/2018,Bus,51833732
05/01/2018,Subway,150320833
05/01/2018,B&T,28357016
06/01/2018,MNR,7596231
06/01/2018,Bus,47637082
06/01/2018,Subway,142709768
06/01/2018,B&T,28668259
07/01/2018,MNR,7403479
07/01/2018,Bus,46047617
07/01/2018,Subway,136167499
07/01/2018,B&T,28683283
08/01/2018,MNR,7456258
08/01/2018,Bus,46810522
